COMPANY,RPNA_DATE_UTC,TIMESTAMP_UTC,RP_ENTITY_ID,ENTITY_TYPE,NEWS_TYPE,RP_STORY_ID,AEV,RP_STORY_EVENT_INDEX,RP_STORY_EVENT_COUNT,PEQ,BEE,BMQ,BAM,BCA,BER,ANL_CHG,MCQ,RPNA_DATE_UTC,,
US/AMZN,9/1/2018,00:06.1,0157B1,COMP,PRESS-RELEASE,88078CEA80841FDB719D013E4B088A1B,45,7,15,100,50,50,50,100,100,50,50,9/1/2018,,
US/AMZN,9/1/2018,00:11.9,0157B1,COMP,PRESS-RELEASE,345CBA9CF9B48F71815527B9AAE809DD,45,2,2,50,50,50,50,50,50,50,50,9/1/2018,,
US/AMZN,9/1/2018,00:13.9,0157B1,COMP,PRESS-RELEASE,AD25DB142BE655D0962F430DDAE322FC,45,4,5,50,50,50,50,50,50,50,50,9/1/2018,,
US/AMZN,9/1/2018,00:20.0,0157B1,COMP,PRESS-RELEASE,534E6E74C562191363B0BC1D7483FA20,45,6,8,50,50,0,50,50,50,50,50,9/1/2018,,
US/AMZN,9/1/2018,15:02.1,0157B1,COMP,PRESS-RELEASE,B345A624A6EBED920B56F6853D98E741,45,5,14,100,50,50,50,50,50,50,50,9/1/2018,,
US/AMZN,9/1/2018,29:13.5,0157B1,COMP,PRESS-RELEASE,D270AA7D6560B13E61045CB8478E6E11,45,1,5,50,50,50,50,50,50,50,50,9/1/2018,,
US/AMZN,9/1/2018,30:06.6,0157B1,COMP,PRESS-RELEASE,637B0C365AE2588D4F9731F8610E300E,45,4,150,50,50,100,50,50,100,50,50,9/1/2018,,
US/AMZN,9/1/2018,30:27.3,0157B1,COMP,PRESS-RELEASE,1BD54780F6BC77DE5F0CEA84AD8D706F,45,4,150,50,50,100,50,50,100,50,50,9/1/2018,,
US/AMZN,9/1/2018,31:44.8,0157B1,COMP,PRESS-RELEASE,5782588A91B805CD4035D8BCED1AAE54,45,1,11,50,50,50,50,50,100,50,50,9/1/2018,,
US/AMZN,9/1/2018,05:35.6,0157B1,COMP,PRESS-RELEASE,5589044E3A2EC4DFC6296F4293E69BB2,45,1,2,50,50,100,50,50,50,50,100,9/1/2018,,
US/AMZN,9/1/2018,15:00.2,0157B1,COMP,PRESS-RELEASE,93AFBA3749A2A821E4177AC509C80A50,46,1,1,50,50,50,50,50,50,50,50,9/1/2018,,
US/AMZN,9/1/2018,38:00.3,0157B1,COMP,PRESS-RELEASE,1441C1A339E8BA402D735EA2482DB594,46,2,2,50,50,50,50,100,50,50,50,9/1/2018,,
